#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,user
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:51.362774179Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:06:58.063464155Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:01.50870301Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:04.795048037Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:11.952237287Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:18.718772836Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:25.682384994Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:32.238787769Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:35.619820649Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:39.31048651Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:42.69017628Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:49.451266168Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:56.213267818Z,-72,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:07:59.901748144Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:06.63176721Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:13.226463969Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:16.497367543Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:20.188629481Z,-71,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:23.568919563Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:30.331078674Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:37.096466496Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:44.127564241Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:47.542209891Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:54.240361995Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:08:57.252268113Z,-69,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:04.244539715Z,-70,Rssi,vuoy_surroundings,1
,,0,2023-04-29T17:38:55.044078847Z,2023-05-30T04:08:55.044078847Z,2023-05-26T10:09:07.606784775Z,-69,Rssi,vuoy_surroundings,1
